Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Unnamed: 14;Instituiï¿½ï¿½o financeira;ï¿½ndice;Quantidade de reclamaï¿½ï¿½es reguladas procedentes;Quantidade de reclamaï¿½ï¿½es reguladas - outras;Quantidade de reclamaï¿½ï¿½es nï¿½o reguladas;Quantidade total de reclamaï¿½ï¿½es;Quantidade total de clientes ï¿½ CCS e SCR;Quantidade de clientes ï¿½ CCS;Quantidade de clientes ï¿½ SCR
2021;3º;Demais bancos e financeiras;Conglomerado; ;PORTO SEGURO (conglomerado);18,21;55.0;69.0;62.0;186.0;3019992; ;3019992;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;01800019;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;19.0;32.0;17.0;68.0;225158;1;225157;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;10.0;39.0;21.0;70.0;4873514;51;4873489;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;RENDIMENTO (conglomerado); ;1.0;10.0;1.0;12.0;26068;22168;6473;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;RODOBENS (conglomerado); ;1.0;1.0;1.0;3.0;14845;1609;13625;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;SAFRA (conglomerado);103,36;442.0;932.0;408.0;1782.0;4276210;1938760;2638051;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;05503849;SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0.0;1.0;0.0;1.0;29858;1259;28602;;;;;;;;;;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;SANTANDER (conglomerado);29,19;1558.0;3646.0;2031.0;7235.0;53358153;45593473;25859687;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;00122327;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;1.0;4.0;0.0;5.0;14007;592;13415;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;SICREDI (conglomerado); ;0.0;0.0;2.0;2.0;6101332;6080485;187051;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;SIMPALA (conglomerado); ;1.0;0.0;1.0;2.0;2883;25;2858;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;0.0;1.0;0.0;1.0;534;418;159;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;03881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1.0;3.0;7.0;11.0;2088;460;1628;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;SOFISA (conglomerado);90,68;37.0;21.0;19.0;77.0;407986;398001;17484;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;SOROCRED (conglomerado); ;14.0;28.0;10.0;52.0;248801;1076;247735;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;41498340;TENTOS S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1.0;0.0;0.0;1.0;129; ;129;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;09473806;TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0.0;0.0;1.0;1.0;37627;11;37616;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;05192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;2.0;3.0;1.0;6.0;405846;1385;404867;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;VOITER (conglomerado); ;1.0;2.0;2.0;5.0;5059;4490;841;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;VOLKSWAGEN (conglomerado); ;21.0;29.0;44.0;94.0;358084;945;357307;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;VOLVO (conglomerado); ;0.0;1.0;0.0;1.0;7212;49;7204;;;;;;;;;;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;VOTORANTIM (conglomerado);13,90;256.0;193.0;225.0;674.0;18414652;15132752;5084002;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;WESTERN UNION (conglomerado); ;2.0;2.0;0.0;4.0;1;1; ;;;;;;;;;;
